start,1,2,3,4,5,6,7,8
A,80.0,5.0,15.0,0.0,80.0,70.0,0.0,0.0
B,0.0,65.0,75.0,60.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,37.5,0.0,75.0,67.5
