start,1,2,3,4,5,6,7,8
A,80.0,0.0,0.0,0.0,100.0,70.0,0.0,0.0
B,0.0,70.0,90.0,40.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,20.0,0.0,100.0,60.0
