年份,美国人口,中国人口
1790,3.9,323.45
1800,5.3,341.6
1810,7.2,360.75
1820,9.6,381
1830,12.9,409
1840,17.1,412
1850,23.2,412
1860,31.4,377
1870,38.6,358
1880,50.2,368
1890,62.9,380
1900,76,400
1910,92,423
1920,106.5,472
1930,123.2,489
1940,131.7,518.77
1950,150.7,546.815
1960,179.3,667.07
1970,204,818.315
1980,226.5,981.235
1990,251.4,1135.185
2000,281.4,1264.093
2010,309,1341
2020,331,1410
2030,340,1500
